time_point_idx,time_offset_ms,start_time_us,eps,min_samples,window_us,window_ms,min_cluster_events,max_y_spread,total_events,total_clusters,valid_clusters,filtered_clusters,noise_points,noise_pct,min_cluster_size,max_cluster_size,mean_cluster_size,mean_y_spread,mean_x_spread
0,0.0,4006976,2,10,5000,5.0,100,4.0,1985,11,3,8,1013,51.032745591939545,104,347,259.6666666666667,1.7232649865487273,6.558573104959794
0,0.0,4006976,2,10,5000,5.0,100,5.0,1985,11,3,8,1013,51.032745591939545,104,347,259.6666666666667,1.7232649865487273,6.558573104959794
0,0.0,4006976,2,10,5000,5.0,100,6.0,1985,11,3,8,1013,51.032745591939545,104,347,259.6666666666667,1.7232649865487273,6.558573104959794
0,0.0,4006976,2,10,5000,5.0,200,4.0,1985,11,2,9,1013,51.032745591939545,328,347,337.5,2.1476352874807034,7.490410653324142
0,0.0,4006976,2,10,5000,5.0,200,5.0,1985,11,2,9,1013,51.032745591939545,328,347,337.5,2.1476352874807034,7.490410653324142
0,0.0,4006976,2,10,5000,5.0,200,6.0,1985,11,2,9,1013,51.032745591939545,328,347,337.5,2.1476352874807034,7.490410653324142
0,0.0,4006976,2,10,5000,5.0,300,4.0,1985,11,2,9,1013,51.032745591939545,328,347,337.5,2.1476352874807034,7.490410653324142
0,0.0,4006976,2,10,5000,5.0,300,5.0,1985,11,2,9,1013,51.032745591939545,328,347,337.5,2.1476352874807034,7.490410653324142
0,0.0,4006976,2,10,5000,5.0,300,6.0,1985,11,2,9,1013,51.032745591939545,328,347,337.5,2.1476352874807034,7.490410653324142
0,0.0,4006976,2,10,10000,10.0,100,4.0,4302,7,4,3,2197,51.06927010692701,243,748,502.25,1.6761292913848054,9.141326252111364
0,0.0,4006976,2,10,10000,10.0,100,5.0,4302,7,4,3,2197,51.06927010692701,243,748,502.25,1.6761292913848054,9.141326252111364
0,0.0,4006976,2,10,10000,10.0,100,6.0,4302,7,4,3,2197,51.06927010692701,243,748,502.25,1.6761292913848054,9.141326252111364
0,0.0,4006976,2,10,10000,10.0,200,4.0,4302,7,4,3,2197,51.06927010692701,243,748,502.25,1.6761292913848054,9.141326252111364
0,0.0,4006976,2,10,10000,10.0,200,5.0,4302,7,4,3,2197,51.06927010692701,243,748,502.25,1.6761292913848054,9.141326252111364
0,0.0,4006976,2,10,10000,10.0,200,6.0,4302,7,4,3,2197,51.06927010692701,243,748,502.25,1.6761292913848054,9.141326252111364
0,0.0,4006976,2,10,10000,10.0,300,4.0,4302,7,3,4,2197,51.06927010692701,304,748,588.6666666666666,1.82324326835747,8.739369559679597
0,0.0,4006976,2,10,10000,10.0,300,5.0,4302,7,3,4,2197,51.06927010692701,304,748,588.6666666666666,1.82324326835747,8.739369559679597
0,0.0,4006976,2,10,10000,10.0,300,6.0,4302,7,3,4,2197,51.06927010692701,304,748,588.6666666666666,1.82324326835747,8.739369559679597
0,0.0,4006976,2,10,15000,15.0,100,4.0,6558,20,5,15,3237,49.35956084172004,111,1123,625.8,1.5349844308330445,8.016807018013603
0,0.0,4006976,2,10,15000,15.0,100,5.0,6558,20,5,15,3237,49.35956084172004,111,1123,625.8,1.5349844308330445,8.016807018013603
0,0.0,4006976,2,10,15000,15.0,100,6.0,6558,20,5,15,3237,49.35956084172004,111,1123,625.8,1.5349844308330445,8.016807018013603
0,0.0,4006976,2,10,15000,15.0,200,4.0,6558,20,4,16,3237,49.35956084172004,354,1123,754.5,1.7066118956949794,8.898853611597556
0,0.0,4006976,2,10,15000,15.0,200,5.0,6558,20,4,16,3237,49.35956084172004,354,1123,754.5,1.7066118956949794,8.898853611597556
0,0.0,4006976,2,10,15000,15.0,200,6.0,6558,20,4,16,3237,49.35956084172004,354,1123,754.5,1.7066118956949794,8.898853611597556
0,0.0,4006976,2,10,15000,15.0,300,4.0,6558,20,4,16,3237,49.35956084172004,354,1123,754.5,1.7066118956949794,8.898853611597556
0,0.0,4006976,2,10,15000,15.0,300,5.0,6558,20,4,16,3237,49.35956084172004,354,1123,754.5,1.7066118956949794,8.898853611597556
0,0.0,4006976,2,10,15000,15.0,300,6.0,6558,20,4,16,3237,49.35956084172004,354,1123,754.5,1.7066118956949794,8.898853611597556
0,0.0,4006976,2,10,20000,20.0,100,4.0,8391,32,5,27,3913,46.63329758074127,148,1491,818.0,1.5497482485552205,8.238707937385872
0,0.0,4006976,2,10,20000,20.0,100,5.0,8391,32,5,27,3913,46.63329758074127,148,1491,818.0,1.5497482485552205,8.238707937385872
0,0.0,4006976,2,10,20000,20.0,100,6.0,8391,32,5,27,3913,46.63329758074127,148,1491,818.0,1.5497482485552205,8.238707937385872
0,0.0,4006976,2,10,20000,20.0,200,4.0,8391,32,4,28,3913,46.63329758074127,434,1491,985.5,1.7189004953914655,8.841923724718292
0,0.0,4006976,2,10,20000,20.0,200,5.0,8391,32,4,28,3913,46.63329758074127,434,1491,985.5,1.7189004953914655,8.841923724718292
0,0.0,4006976,2,10,20000,20.0,200,6.0,8391,32,4,28,3913,46.63329758074127,434,1491,985.5,1.7189004953914655,8.841923724718292
0,0.0,4006976,2,10,20000,20.0,300,4.0,8391,32,4,28,3913,46.63329758074127,434,1491,985.5,1.7189004953914655,8.841923724718292
0,0.0,4006976,2,10,20000,20.0,300,5.0,8391,32,4,28,3913,46.63329758074127,434,1491,985.5,1.7189004953914655,8.841923724718292
0,0.0,4006976,2,10,20000,20.0,300,6.0,8391,32,4,28,3913,46.63329758074127,434,1491,985.5,1.7189004953914655,8.841923724718292
0,0.0,4006976,2,15,5000,5.0,100,4.0,1985,6,3,3,1133,57.07808564231738,102,328,245.66666666666666,1.6786258778286267,5.976686269047068
0,0.0,4006976,2,15,5000,5.0,100,5.0,1985,6,3,3,1133,57.07808564231738,102,328,245.66666666666666,1.6786258778286267,5.976686269047068
0,0.0,4006976,2,15,5000,5.0,100,6.0,1985,6,3,3,1133,57.07808564231738,102,328,245.66666666666666,1.6786258778286267,5.976686269047068
0,0.0,4006976,2,15,5000,5.0,200,4.0,1985,6,2,4,1133,57.07808564231738,307,328,317.5,2.0804817281679773,6.6899280606140294
0,0.0,4006976,2,15,5000,5.0,200,5.0,1985,6,2,4,1133,57.07808564231738,307,328,317.5,2.0804817281679773,6.6899280606140294
0,0.0,4006976,2,15,5000,5.0,200,6.0,1985,6,2,4,1133,57.07808564231738,307,328,317.5,2.0804817281679773,6.6899280606140294
0,0.0,4006976,2,15,5000,5.0,300,4.0,1985,6,2,4,1133,57.07808564231738,307,328,317.5,2.0804817281679773,6.6899280606140294
0,0.0,4006976,2,15,5000,5.0,300,5.0,1985,6,2,4,1133,57.07808564231738,307,328,317.5,2.0804817281679773,6.6899280606140294
0,0.0,4006976,2,15,5000,5.0,300,6.0,1985,6,2,4,1133,57.07808564231738,307,328,317.5,2.0804817281679773,6.6899280606140294
0,0.0,4006976,2,15,10000,10.0,100,4.0,4302,7,4,3,2244,52.16178521617852,159,740,465.75,1.6287657571634608,7.024355921862742
0,0.0,4006976,2,15,10000,10.0,100,5.0,4302,7,4,3,2244,52.16178521617852,159,740,465.75,1.6287657571634608,7.024355921862742
0,0.0,4006976,2,15,10000,10.0,100,6.0,4302,7,4,3,2244,52.16178521617852,159,740,465.75,1.6287657571634608,7.024355921862742
0,0.0,4006976,2,15,10000,10.0,200,4.0,4302,7,3,4,2244,52.16178521617852,260,740,568.0,1.8212754284112715,7.673917753480706
0,0.0,4006976,2,15,10000,10.0,200,5.0,4302,7,3,4,2244,52.16178521617852,260,740,568.0,1.8212754284112715,7.673917753480706
0,0.0,4006976,2,15,10000,10.0,200,6.0,4302,7,3,4,2244,52.16178521617852,260,740,568.0,1.8212754284112715,7.673917753480706
0,0.0,4006976,2,15,10000,10.0,300,4.0,4302,7,2,5,2244,52.16178521617852,704,740,722.0,2.2009349228917614,8.248814920560566
0,0.0,4006976,2,15,10000,10.0,300,5.0,4302,7,2,5,2244,52.16178521617852,704,740,722.0,2.2009349228917614,8.248814920560566
0,0.0,4006976,2,15,10000,10.0,300,6.0,4302,7,2,5,2244,52.16178521617852,704,740,722.0,2.2009349228917614,8.248814920560566
0,0.0,4006976,2,15,15000,15.0,100,4.0,6558,5,5,0,3453,52.653247941445564,111,1118,621.0,1.5056844550837987,7.926527260232016
0,0.0,4006976,2,15,15000,15.0,100,5.0,6558,5,5,0,3453,52.653247941445564,111,1118,621.0,1.5056844550837987,7.926527260232016
0,0.0,4006976,2,15,15000,15.0,100,6.0,6558,5,5,0,3453,52.653247941445564,111,1118,621.0,1.5056844550837987,7.926527260232016
0,0.0,4006976,2,15,15000,15.0,200,4.0,6558,5,4,1,3453,52.653247941445564,352,1118,748.5,1.6699869260084221,8.786003914370571
0,0.0,4006976,2,15,15000,15.0,200,5.0,6558,5,4,1,3453,52.653247941445564,352,1118,748.5,1.6699869260084221,8.786003914370571
0,0.0,4006976,2,15,15000,15.0,200,6.0,6558,5,4,1,3453,52.653247941445564,352,1118,748.5,1.6699869260084221,8.786003914370571
0,0.0,4006976,2,15,15000,15.0,300,4.0,6558,5,4,1,3453,52.653247941445564,352,1118,748.5,1.6699869260084221,8.786003914370571
0,0.0,4006976,2,15,15000,15.0,300,5.0,6558,5,4,1,3453,52.653247941445564,352,1118,748.5,1.6699869260084221,8.786003914370571
0,0.0,4006976,2,15,15000,15.0,300,6.0,6558,5,4,1,3453,52.653247941445564,352,1118,748.5,1.6699869260084221,8.786003914370571
0,0.0,4006976,2,15,20000,20.0,100,4.0,8391,8,5,3,4272,50.911691097604574,148,1490,814.2,1.5242214778669922,8.211205457546468
0,0.0,4006976,2,15,20000,20.0,100,5.0,8391,8,5,3,4272,50.911691097604574,148,1490,814.2,1.5242214778669922,8.211205457546468
0,0.0,4006976,2,15,20000,20.0,100,6.0,8391,8,5,3,4272,50.911691097604574,148,1490,814.2,1.5242214778669922,8.211205457546468
0,0.0,4006976,2,15,20000,20.0,200,4.0,8391,8,4,4,4272,50.911691097604574,430,1490,980.75,1.6869920320311802,8.807545624919037
0,0.0,4006976,2,15,20000,20.0,200,5.0,8391,8,4,4,4272,50.911691097604574,430,1490,980.75,1.6869920320311802,8.807545624919037
0,0.0,4006976,2,15,20000,20.0,200,6.0,8391,8,4,4,4272,50.911691097604574,430,1490,980.75,1.6869920320311802,8.807545624919037
0,0.0,4006976,2,15,20000,20.0,300,4.0,8391,8,4,4,4272,50.911691097604574,430,1490,980.75,1.6869920320311802,8.807545624919037
0,0.0,4006976,2,15,20000,20.0,300,5.0,8391,8,4,4,4272,50.911691097604574,430,1490,980.75,1.6869920320311802,8.807545624919037
0,0.0,4006976,2,15,20000,20.0,300,6.0,8391,8,4,4,4272,50.911691097604574,430,1490,980.75,1.6869920320311802,8.807545624919037
0,0.0,4006976,3,5,5000,5.0,100,4.0,1985,30,3,27,796,40.1007556675063,141,377,290.0,1.721714660350617,8.828665908779392
0,0.0,4006976,3,5,5000,5.0,100,5.0,1985,30,3,27,796,40.1007556675063,141,377,290.0,1.721714660350617,8.828665908779392
0,0.0,4006976,3,5,5000,5.0,100,6.0,1985,30,3,27,796,40.1007556675063,141,377,290.0,1.721714660350617,8.828665908779392
0,0.0,4006976,3,5,5000,5.0,200,4.0,1985,30,2,28,796,40.1007556675063,352,377,364.5,2.16723913216986,8.53368554699828
0,0.0,4006976,3,5,5000,5.0,200,5.0,1985,30,2,28,796,40.1007556675063,352,377,364.5,2.16723913216986,8.53368554699828
0,0.0,4006976,3,5,5000,5.0,200,6.0,1985,30,2,28,796,40.1007556675063,352,377,364.5,2.16723913216986,8.53368554699828
0,0.0,4006976,3,5,5000,5.0,300,4.0,1985,30,2,28,796,40.1007556675063,352,377,364.5,2.16723913216986,8.53368554699828
0,0.0,4006976,3,5,5000,5.0,300,5.0,1985,30,2,28,796,40.1007556675063,352,377,364.5,2.16723913216986,8.53368554699828
0,0.0,4006976,3,5,5000,5.0,300,6.0,1985,30,2,28,796,40.1007556675063,352,377,364.5,2.16723913216986,8.53368554699828
0,0.0,4006976,3,5,10000,10.0,100,4.0,4302,110,4,106,1194,27.754532775453278,259,768,518.25,1.8228945831544694,9.688988712984806
0,0.0,4006976,3,5,10000,10.0,100,5.0,4302,110,4,106,1194,27.754532775453278,259,768,518.25,1.8228945831544694,9.688988712984806
0,0.0,4006976,3,5,10000,10.0,100,6.0,4302,110,4,106,1194,27.754532775453278,259,768,518.25,1.8228945831544694,9.688988712984806
0,0.0,4006976,3,5,10000,10.0,200,4.0,4302,110,4,106,1194,27.754532775453278,259,768,518.25,1.8228945831544694,9.688988712984806
0,0.0,4006976,3,5,10000,10.0,200,5.0,4302,110,4,106,1194,27.754532775453278,259,768,518.25,1.8228945831544694,9.688988712984806
0,0.0,4006976,3,5,10000,10.0,200,6.0,4302,110,4,106,1194,27.754532775453278,259,768,518.25,1.8228945831544694,9.688988712984806
0,0.0,4006976,3,5,10000,10.0,300,4.0,4302,110,3,107,1194,27.754532775453278,306,768,604.6666666666666,1.989969196430694,9.297089452528944
0,0.0,4006976,3,5,10000,10.0,300,5.0,4302,110,3,107,1194,27.754532775453278,306,768,604.6666666666666,1.989969196430694,9.297089452528944
0,0.0,4006976,3,5,10000,10.0,300,6.0,4302,110,3,107,1194,27.754532775453278,306,768,604.6666666666666,1.989969196430694,9.297089452528944
0,0.0,4006976,3,5,15000,15.0,100,4.0,6558,198,4,194,1148,17.505336992985665,111,2293,809.25,1.589504653393094,15.888927595984
0,0.0,4006976,3,5,15000,15.0,100,5.0,6558,198,4,194,1148,17.505336992985665,111,2293,809.25,1.589504653393094,15.888927595984
0,0.0,4006976,3,5,15000,15.0,100,6.0,6558,198,4,194,1148,17.505336992985665,111,2293,809.25,1.589504653393094,15.888927595984
0,0.0,4006976,3,5,15000,15.0,200,4.0,6558,198,3,195,1148,17.505336992985665,379,2293,1042.0,1.8365146807290238,19.689029913419404
0,0.0,4006976,3,5,15000,15.0,200,5.0,6558,198,3,195,1148,17.505336992985665,379,2293,1042.0,1.8365146807290238,19.689029913419404
