time_point_idx,time_offset_ms,window_duration_us,assignment_distance,smoothing_window,num_clusters,num_clusters_with_rpm,cluster_id,rpm,num_peaks,num_width_samples,mean_period_ms,std_period_ms
0,0.0,500,10,40,4,4,0,5769.2307692307695,6,100,5.2,0.2449489742783178
0,0.0,500,10,40,4,4,1,5555.555555555555,6,100,5.4,0.3741657386773941
0,0.0,500,10,40,4,4,2,4736.8421052631575,4,100,6.333333333333333,0.23570226039551584
0,0.0,500,10,40,4,4,5,4736.8421052631575,4,99,6.333333333333333,0.23570226039551584
0,0.0,500,10,60,4,4,0,5806.451612903226,4,100,5.166666666666667,0.23570226039551584
0,0.0,500,10,60,4,4,1,5625.0,4,100,5.333333333333333,0.23570226039551584
0,0.0,500,10,60,4,4,2,4800.0,3,100,6.25,1.75
0,0.0,500,10,60,4,4,5,4615.384615384615,3,99,6.5,1.0
0,0.0,500,10,80,4,2,0,5454.545454545455,2,100,5.5,0.0
0,0.0,500,10,80,4,2,1,5454.545454545455,2,100,5.5,0.0
0,0.0,500,15,40,4,4,0,3750.0,3,100,8.0,2.0
0,0.0,500,15,40,4,4,1,5714.285714285714,5,100,5.25,0.25
0,0.0,500,15,40,4,4,2,4615.384615384615,4,100,6.5,0.408248290463863
0,0.0,500,15,40,4,4,5,4800.0,3,100,6.25,0.25
0,0.0,500,15,60,4,4,0,3870.967741935484,3,100,7.75,1.75
0,0.0,500,15,60,4,4,1,5806.451612903226,4,100,5.166666666666667,0.4714045207910317
0,0.0,500,15,60,4,4,2,6000.0,4,100,5.0,1.4142135623730951
0,0.0,500,15,60,4,4,5,4615.384615384615,3,100,6.5,1.5
0,0.0,500,15,80,4,1,1,6666.666666666667,2,100,4.5,0.0
0,0.0,500,20,40,4,4,0,3750.0,3,100,8.0,1.5
0,0.0,500,20,40,4,4,1,5714.285714285714,5,100,5.25,0.25
0,0.0,500,20,40,4,4,2,2926.829268292683,3,100,10.25,4.75
0,0.0,500,20,40,4,4,5,3750.0,3,100,8.0,1.5
0,0.0,500,20,60,4,4,0,4000.0000000000005,3,100,7.5,1.0
0,0.0,500,20,60,4,4,1,5454.545454545455,3,100,5.5,0.0
0,0.0,500,20,60,4,4,2,5454.545454545455,3,100,5.5,0.5
0,0.0,500,20,60,4,4,5,4000.0000000000005,3,100,7.5,1.5
0,0.0,500,25,40,4,4,0,1875.0,2,100,16.0,0.0
0,0.0,500,25,40,4,4,1,5714.285714285714,5,100,5.25,0.25
0,0.0,500,25,40,4,4,2,2790.697674418605,3,100,10.75,5.25
0,0.0,500,25,40,4,4,5,3750.0,3,100,8.0,1.5
0,0.0,500,25,60,4,4,0,4000.0000000000005,3,100,7.5,1.0
0,0.0,500,25,60,4,4,1,5454.545454545455,3,100,5.5,0.0
0,0.0,500,25,60,4,4,2,5217.391304347826,3,100,5.75,0.25
0,0.0,500,25,60,4,4,5,4000.0000000000005,3,100,7.5,1.0
0,0.0,750,10,40,4,4,0,5714.285714285714,4,67,5.25,0.0
0,0.0,750,10,40,4,4,1,5454.545454545455,4,67,5.5,0.3535533905932738
0,0.0,750,10,40,4,4,2,5333.333333333333,3,67,5.625,1.125
0,0.0,750,10,40,4,4,5,4444.444444444444,3,67,6.75,1.5
0,0.0,750,15,40,4,4,0,4000.0000000000005,3,67,7.5,1.5
0,0.0,750,15,40,4,4,1,6000.0,4,67,5.0,0.9354143466934853
0,0.0,750,15,40,4,4,2,4000.0000000000005,3,67,7.5,1.5
0,0.0,750,15,40,4,4,5,4000.0000000000005,3,67,7.5,1.5
0,0.0,750,20,40,4,4,0,4000.0000000000005,3,67,7.5,1.5
0,0.0,750,20,40,4,4,1,5333.333333333333,3,67,5.625,0.375
0,0.0,750,20,40,4,4,2,5714.285714285714,3,67,5.25,0.0
0,0.0,750,20,40,4,4,5,4000.0000000000005,3,67,7.5,1.5
0,0.0,750,25,40,4,4,0,4000.0000000000005,3,67,7.5,1.5
0,0.0,750,25,40,4,4,1,5333.333333333333,3,67,5.625,0.375
0,0.0,750,25,40,4,4,2,5000.0,3,67,6.0,0.0
0,0.0,750,25,40,4,4,5,4000.0000000000005,3,67,7.5,1.5
0,0.0,1000,10,40,4,2,0,6000.0,2,50,5.0,0.0
0,0.0,1000,10,40,4,2,1,6000.0,2,50,5.0,0.0
0,0.0,1000,15,40,4,1,1,6000.0,2,50,5.0,0.0
0,0.0,1000,20,40,4,1,2,5000.0,2,50,6.0,0.0
1,-2.223,500,10,40,4,4,0,5769.2307692307695,6,105,5.2,0.24494897427831783
1,-2.223,500,10,40,4,4,1,5555.555555555555,6,105,5.4,0.19999999999999998
1,-2.223,500,10,40,4,4,2,4800.0,5,105,6.25,0.25
1,-2.223,500,10,40,4,4,4,4500.0,4,103,6.666666666666667,0.4714045207910317
1,-2.223,500,10,60,4,4,0,5625.0,4,105,5.333333333333333,0.23570226039551584
1,-2.223,500,10,60,4,4,1,5625.0,4,105,5.333333333333333,0.23570226039551584
1,-2.223,500,10,60,4,4,2,4800.0,3,105,6.25,1.25
1,-2.223,500,10,60,4,4,4,4137.931034482758,3,103,7.25,0.75
1,-2.223,500,10,80,4,2,0,6000.0,2,105,5.0,0.0
1,-2.223,500,10,80,4,2,1,6000.0,2,105,5.0,0.0
1,-2.223,500,15,40,4,4,0,3461.5384615384614,4,105,8.666666666666666,1.9293061504650375
1,-2.223,500,15,40,4,4,1,5660.377358490567,6,105,5.3,0.2449489742783178
1,-2.223,500,15,40,4,4,2,4615.384615384615,3,105,6.5,0.0
1,-2.223,500,15,40,4,4,4,4800.0,3,105,6.25,0.25
1,-2.223,500,15,60,4,4,0,4000.0000000000005,3,105,7.5,1.5
1,-2.223,500,15,60,4,4,1,5806.451612903226,4,105,5.166666666666667,0.23570226039551584
1,-2.223,500,15,60,4,4,2,5454.545454545455,2,105,5.5,0.0
1,-2.223,500,15,60,4,4,4,4800.0,3,105,6.25,0.75
1,-2.223,500,15,80,4,2,0,7500.0,2,105,4.0,0.0
1,-2.223,500,15,80,4,2,1,6000.0,2,105,5.0,0.0
1,-2.223,500,20,40,4,4,0,5000.0,2,105,6.0,0.0
1,-2.223,500,20,40,4,4,1,5853.658536585366,5,105,5.125,0.414578098794425
1,-2.223,500,20,40,4,4,2,2926.829268292683,3,105,10.25,4.75
1,-2.223,500,20,40,4,4,4,3870.967741935484,3,105,7.75,1.75
1,-2.223,500,20,60,4,4,0,4000.0000000000005,3,105,7.5,1.5
1,-2.223,500,20,60,4,4,1,5454.545454545455,3,105,5.5,0.0
1,-2.223,500,20,60,4,4,2,5454.545454545455,3,105,5.5,0.0
1,-2.223,500,20,60,4,4,4,4000.0000000000005,3,105,7.5,1.5
1,-2.223,500,20,80,4,1,1,5000.0,2,105,6.0,0.0
1,-2.223,500,25,40,4,3,1,5714.285714285714,5,105,5.25,0.4330127018922193
1,-2.223,500,25,40,4,3,2,2857.142857142857,3,105,10.5,5.0
